Sedimentary
Arkose
Conglomerate
Chert
Limestone
Breccia (sedimentary)
Dolomite
Greywacke
Gritstone
Sandstone
Syenite
Granite
Granodiorite
Gabbro
Monzonite
Plutonic
Peridotite
Anorthosite
Tonalite
Diorite
Amphibolite
Quartzite
Schist
Marble
Migmatite
Greenschist and Prasinite
Hornfels
Metamorphic
Slate
Serpentinite
Gneiss
Hydrothermal and Metasomatic
Quartz
Andesite
Tephrite
Dolerite
Igneous
Volcanic
Agglomerate
Tuff
Rhyolite
Trachyte
Phonolite
Breccia (volcanic)
Ignimbrite
Basalt
